dstag,delta,gamma_e,Ma_edge,p_exi,T_ratio,Ma0,R0,R,uR,rhoR,pR,T_w
0.579933124752755,0.0362441022778852,1.4,0.187357870880014,-0.0389271855294091,4.08301416127416,0.187356943119313,26.6249201979955,26.6436929788201,-1.00070508308326,1,0.714278640288013,0.244917103027616
0.480357473674671,0.0360546628166009,1.4,0.158692001769466,-0.047537526508757,4.07257159034864,0.158691143679891,21.5806481225817,21.6038046045295,-1.0010730206904,1,0.714277989643501,0.245545100390584
0.386758570378131,0.035526719054842,1.4,0.130050332120913,-0.0598298434220884,4.06234041172345,0.130049571271948,17.0026285078528,17.0320103386549,-1.00172807579655,1,0.714277356568402,0.246163516261246
0.298902589338718,0.0350854051507273,1.4,0.102296483600134,-0.0778779947194611,4.05153526580716,0.102295847953516,12.9772049594576,13.0156770304034,-1.00296458837369,1,0.71427683750185,0.246820016214465
0.216547449527409,0.0344446209643836,1.4,0.0745403362187114,-0.109401505110346,4.04079772284605,0.0745398460796084,9.1923214586332,9.24655469885127,-1.00589984156474,1,0.714276320761992,0.247475886839412
0.139445805808833,0.0337669941489482,1.4,0.0471068973145932,-0.172600174962923,4.03080787014972,0.0471065873266532,5.80700511119937,5.89247896572365,-1.01471909407475,1,0.714276313571967,0.248089224843866
0.0673467041773232,0.0333112263212117,1.4,0.0206255334359222,-0.322114140052264,4.02213169052502,0.0206254424813852,3.10594788335552,3.26296065776476,-1.0505522888039,1,0.714279414581188,0.248624380538238
-0,0.0327468927885077,1.4,0.00544292059542116,-3.51060478414359,4.0150322591695,0.00544272203466055,0.284963608282813,1.03980972203839,-3.64892109664204,1,0.714233600158662,0.249064001345496
-0.0628430909036801,0.0324074357253163,1.4,0.0300734991458416,-0.39128487154053,4.00816563100248,0.0300730835961734,2.55835008503889,2.74684458199194,-1.07367814829384,1,0.714265974704403,0.249490687776266
-0.121427733507534,0.0318943825484194,1.4,0.0541360529927624,-0.201932038128172,4.00075465977931,0.0541354099946671,4.96730893197519,5.06696734010399,-1.0200628568695,1,0.714268746605183,0.24995284266073
-0.175993953752996,0.0315082194976982,1.4,0.0768811729161966,-0.143762174406014,3.99183267396435,0.0768802450470587,6.99814125947483,7.06922775751099,-1.01015791127964,1,0.714268473142131,0.250511502278698
-0.226774740713419,0.0309006882762723,1.4,0.0994655728850365,-0.11274893621616,3.98079659554546,0.0994643468835057,8.95900257625223,9.01463960240752,-1.0062101808412,1,0.714268105982525,0.251206002617417
-0.273996551361098,0.0302364421784924,1.4,0.121737769231512,-0.0958052081159303,3.9669976109162,0.121736162436859,10.5962823239181,10.6433640869876,-1.00444323411083,1,0.714266858955951,0.252079808984066
-0.317877354723778,0.0296938322024435,1.4,0.143564072817206,-0.0872160180896269,3.95058233207482,0.143561914588572,11.7088713420965,11.7514964198509,-1.00364040875581,1,0.714264238435057,0.253127239465683
-0.358625677895339,0.0290589665694933,1.4,0.165601210278575,-0.0819269400309499,3.93134752307625,0.165598328075971,12.5524163972925,12.5921863634167,-1.00316831157169,1,0.714260850962232,0.254365708991686
-0.396442145194522,0.0279431276564525,1.4,0.189012675368662,-0.0765967104123026,3.90972351342495,0.189008993180883,13.5418214211784,13.5786938769193,-1.00272285792244,1,0.714257884316068,0.255772562066414
-0.431517185469305,0.0270372947702292,1.4,0.211972198419914,-0.0750176075438679,3.88571897769844,0.211967311819597,13.9607078103326,13.99647679116,-1.00256211800386,1,0.714252781772945,0.257352630424219
-0.464032327686762,0.0264919683835782,1.4,0.23489666492711,-0.0764003835022284,3.86021815154532,0.234889915915888,13.8575304701365,13.8935650835472,-1.00260036328178,1,0.714244669402863,0.259052716904012
-0.494159387195216,0.0258149435299483,1.4,0.259854050070865,-0.0778836386142802,3.83137159979676,0.259844803059178,13.7746933910099,13.8109441392083,-1.0026316918402,1,0.714234878896961,0.261003135287907
-0.522061220074652,0.0248918870557864,1.4,0.287699576488236,-0.0792126399875244,3.79990172686669,0.287687018495058,13.7700175731161,13.8062805984786,-1.00263347705767,1,0.714223358967238,0.263164700531499
-0.547890927181313,0.0242841658874237,1.4,0.316407370837904,-0.0834470451263528,3.76440926441521,0.316389532436245,13.3251944324014,13.362664654226,-1.00281198312075,1,0.714205176615173,0.265645930014293
-0.571793007781747,0.0236814015172534,1.4,0.347787575207355,-0.0891823430958451,3.7199291691044,0.34776176811748,12.7666633424765,12.8057679543296,-1.00306302522468,1,0.71417971307683,0.268822322829538
-0.593903336645341,0.0226977038719499,1.4,0.382612486388944,-0.095023446053763,3.64799239455554,0.382575723079483,12.3424139988718,12.3828584470447,-1.00327686692219,1,0.714148456636684,0.274123378517031
-0.614349221035578,0.0215829534994773,1.4,0.421906940279728,-0.101010869464995,3.48729994520408,0.421855328296895,12.0617378092519,12.1031202166688,-1.00343088268634,1,0.714110967470203,0.286754800479739
